train_model,eval_model,best_threshold,accuracy,precision,recall,f1,auc
deepseek3.2,deepseek3.2,0.9518,0.9957,0.9991,0.994,0.9966,0.9998
deepseek3.2,gpt-4.1,0.0641,0.9962,0.994,1.0,0.997,0.9996
deepseek3.2,llama-3.3-70b,0.0004,0.9011,0.9143,0.9284,0.9213,0.9644
gpt-4.1,deepseek3.2,0.0482,0.993,0.994,0.9949,0.9944,0.9995
gpt-4.1,gpt-4.1,0.9312,0.9984,0.9991,0.9983,0.9987,1.0
gpt-4.1,llama-3.3-70b,0.001,0.9081,0.9583,0.8914,0.9236,0.9716
llama-3.3-70b,deepseek3.2,0.0005,0.9314,0.9152,0.9811,0.947,0.9771
llama-3.3-70b,gpt-4.1,0.0016,0.9502,0.9535,0.9674,0.9604,0.9862
llama-3.3-70b,llama-3.3-70b,0.962,0.9946,1.0,0.9914,0.9957,1.0
