llm_model,classifier,n_human,n_llm,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
deepseek3.2,logreg,5000,1665,0.9074268567141784,0.12289949633371838,0.8102276553603351,0.19313855602674335,0.9795795795795795,0.008365398364675142,0.8709664728439585,0.13814149821685223,0.9647747747747747,0.05976231427983654
deepseek3.2,xgboost,5000,1665,0.9806451612903226,0.03234134994222352,0.9463047867279866,0.09853324183420616,0.9927927927927929,0.0048793023451266775,0.9660193252620808,0.05519414171280028,0.9992984984984986,0.0013238749552542642
gpt-4.1,logreg,5000,1665,0.9317329332333083,0.10466554711889223,0.8570909799287814,0.19191992507568517,0.987987987987988,0.006847900451045885,0.9034906220241787,0.1303561256578258,0.9780966966966966,0.03910984354845855
gpt-4.1,xgboost,5000,1665,0.9819954988747188,0.03083991716593321,0.9495354415373163,0.09501966515423019,0.9933933933933934,0.005166561721947518,0.9682533785361194,0.053149583353007394,0.9995915915915916,0.0007436759743703845
llama-3.3-70b,logreg,5000,1656,0.8216421530471116,0.17974257129592255,0.7022779951107851,0.2586816534041774,0.9631674735194554,0.01446682756596793,0.7812324469892126,0.1875658401245692,0.9012941033014232,0.12416582446937699
llama-3.3-70b,xgboost,5000,1656,0.9749064240799779,0.03227915765590541,0.9272105458830066,0.09967032987538815,0.9915462454045789,0.004007197471141581,0.9551882178533715,0.055226060677323045,0.9987957776726241,0.0015554017407041231
